"genres","avg_rating","avg_progress"
"Детективное фэнтези,Любовное фэнтези,Фэнтези про драконов",4.533333333333333,66.1475409836065574
"Эротические романы,Остросюжетные любовные романы,Современные любовные романы",4.550901687027341,66.1331241009546227
"Боевая фантастика,Исторические приключения,Городское фэнтези",5.0,66.0714285714285714
"Эротические романы,Короткие любовные романы,Современные любовные романы",4.574665293511844,66.0516973596627468
"Пьесы и драматургия,Зарубежная драматургия,Зарубежная старинная литература,Европейская старинная литература",4.0,66.0000000000000000
"Учебники и пособия для вузов,Отраслевая психология,Анатомия и физиология",3.0,66.0000000000000000
"Книги о приключениях,Книги про волшебников,Любовное фэнтези",4.625,65.9823529411764706
"Боевое фэнтези,Любовное фэнтези,Магические академии",4.862745098039215,65.9588235294117647
"Любовно-фантастические романы,Остросюжетные любовные романы",4.493670886075949,65.9356060606060606
"Зарубежные любовные романы,Зарубежные приключения,Остросюжетные любовные романы,Исторические приключения",5.0,65.9285714285714286
"Исторические детективы,Зарубежные приключения,Исторические приключения",5.0,65.9230769230769231
"Героическое фэнтези,Попаданцы,Боевое фэнтези,Русское фэнтези",4.75,65.9047619047619048
"Привлечение клиентов,Реклама,Недвижимость,Холодные продажи,Работа с клиентами,Управление продажами",5.0,65.8750000000000000
"Эротическое фэнтези,Любовно-фантастические романы,Городское фэнтези",4.642857142857143,65.8410404624277457
"Короткие любовные романы,Книги о путешествиях,Современная русская литература",3.6666666666666665,65.8333333333333333
"Книги о приключениях,Любовно-фантастические романы,Современные любовные романы,Любовное фэнтези",5.0,65.7777777777777778
"Историческая литература,Книги о войне,Современная русская литература",4.512820512820513,65.7605633802816901
"Детективное фэнтези,Героическое фэнтези,Попаданцы,Боевое фэнтези",4.7894736842105265,65.7173913043478261
"Духовная литература,Христианство,Книги для священнослужителей,Православие",5.0,65.7000000000000000
"Мистика,Зарубежное фэнтези,Городское фэнтези,Юмористическое фэнтези",4.0,65.7000000000000000
"Отраслевая психология,Детская психология,Педагогика",5.0,65.6666666666666667
"Боевики,Попаданцы",3.6666666666666665,65.6666666666666667
"Книги про волшебников,Любовное фэнтези,Фэнтези про драконов",4.69811320754717,65.6483720930232558
"Книги о приключениях,Любовно-фантастические романы,Остросюжетные любовные романы,Городское фэнтези",4.333333333333333,65.6363636363636364
"Истории из жизни,Популярно о медицине,Легкая проза",3.75,65.5925925925925926
"Фэнтези про драконов,Магические академии",5.0,65.5714285714285714
"Книги про волшебников,Любовное фэнтези",4.628099173553719,65.5468306527909177
"Просто о бизнесе,Книги о компьютерах,Руководства,Малый и средний бизнес,Работа с клиентами",5.0,65.5454545454545455
"Монографии,Литературоведение",5.0,65.5000000000000000
"Политология,Прочая образовательная литература,Общая психология",4.0,65.5000000000000000
"Социальная фантастика,Зарубежная фантастика,Историческая фантастика",3.8,65.4736842105263158
"Любовно-фантастические романы,Городское фэнтези",4.631578947368421,65.4716981132075472
"Попаданцы,Любовное фэнтези,Фэнтези про драконов,Юмористическое фэнтези",4.409090909090909,65.4384057971014493
"Героическое фэнтези,Попаданцы,Историческое фэнтези",4.777777777777778,65.4310344827586207
"Детективное фэнтези,Зарубежная фантастика,Зарубежное фэнтези,Научная фантастика,Городское фэнтези",4.0,65.4285714285714286
"Эротические рассказы и истории,Остросюжетные любовные романы,Современные любовные романы",4.75,65.4210526315789474
"Магия / колдовство,Любовное фэнтези",5.0,65.4000000000000000
"Книги по философии,Юмор и сатира,Развлечения",5.0,65.4000000000000000
"Детективное фэнтези,Книги про волшебников,Магические академии",4.851851851851852,65.3857868020304569
"Эротические романы,Прикладная литература,Руководства,Медицина",4.5,65.3333333333333333
"Книги для подростков,Мистика,Боевое фэнтези",4.5,65.3333333333333333
"Привлечение клиентов,Стратегия маркетинга,Реклама",4.333333333333333,65.3333333333333333
"Детективное фэнтези,Попаданцы,Боевое фэнтези",4.571428571428571,65.3108108108108108
"Эротическое фэнтези,Остросюжетные любовные романы,Городское фэнтези,Любовное фэнтези",4.72093023255814,65.3010752688172043
"Детская проза,Сказки,Классические любовные романы",4.75,65.2608695652173913
"Стихи и поэзия,Социальная философия,Короткие любовные романы",5.0,65.2500000000000000
"Стихи и поэзия,Список школьной литературы 5-6 класс,Литература 19 века,Русская классика",4.8625,65.2292817679558011
"Эротическое фэнтези,Любовное фэнтези",4.605793450881612,65.2135779816513761
"Любовно-фантастические романы,Космическая фантастика",4.625620655412115,65.2036585365853659
"Зарубежные любовные романы,Современные любовные романы,Юмористическая проза",4.315789473684211,65.2016129032258065
"Научно-популярная литература,Военное дело / спецслужбы,Публицистика",5.0,65.1818181818181818
"Попаданцы,Любовное фэнтези,Юмористическое фэнтези,Магические академии",4.742616033755274,65.1709286675639300
"Эротические романы,Литература 20 века",4.769230769230769,65.1582733812949640
