"item_id","start_count"
124019,90
31454,90
47034,90
249336,90
284134,90
23214,90
64042,89
109846,89
227997,89
184076,89
253765,89
146241,89
128652,89
319218,89
216456,89
17633,89
179716,89
148110,89
208458,89
39702,88
89269,88
186043,88
263368,88
228506,88
6059,88
38167,88
131868,88
2290,88
208258,88
209657,88
98865,88
207816,87
207763,87
247574,87
237968,87
81070,87
153474,87
20730,87
282377,87
166542,87
233898,87
304294,86
160394,86
209711,86
99102,86
31711,86
165850,86
285517,86
183142,86
136637,86
177507,86
44633,86
19375,86
166113,86
181792,86
280459,86
201299,85
311935,85
41699,85
39952,85
85847,85
229474,85
272178,85
227105,85
51618,85
239790,85
256217,85
149197,85
86123,85
103077,85
238200,85
14579,85
261138,85
109493,85
101433,85
308127,84
301410,84
53134,84
182819,84
220733,84
217728,84
264995,84
249955,84
80195,84
8977,84
1540,84
20209,84
158612,84
90674,84
117898,84
56601,83
265951,83
103102,83
43622,83
161746,83
140267,83
238576,83
74107,83
97606,83
19153,83
305673,83
140737,83
311237,82
265984,82
317488,82
308234,82
40800,82
100231,82
288126,82
234300,82
231923,82
143529,82
239958,82
93564,82
21278,82
91077,81
151725,81
266477,81
223867,81
246685,81
183851,81
249602,81
59337,81
80333,81
219492,81
122735,81
63978,81
305526,81
201027,80
9197,80
109663,80
301934,80
23180,80
250869,80
210268,80
292296,80
173602,80
301064,80
317381,80
135020,80
219099,80
130349,80
31023,80
31874,80
274542,80
303901,79
221487,79
207503,79
321392,79
163180,79
110263,79
76750,79
296837,79
58943,79
96865,79
233644,79
161923,79
278305,79
177785,79
34559,78
223317,78
28927,78
134624,78
170997,78
150442,78
94122,78
133005,78
140050,78
184129,78
283202,78
21194,78
245570,78
303990,78
94631,78
182360,78
311394,78
4791,77
316025,77
302826,77
60036,77
71155,77
205633,77
319729,77
277735,77
315884,77
279315,77
297321,77
226235,77
155688,77
43441,77
312432,77
63342,76
302317,76
81777,76
250772,76
235729,76
66292,76
123758,76
69073,76
77477,76
67748,76
246383,76
